lon,lat,flaeche,kaltmiete,europrom2
12.47104,51.35745,149.95,985.00,6.5688562854285
12.37657,51.34905,885.10,6927.03,7.8262682182804
12.3884795,51.3390608,1605.33,14621.37,9.1080151744501
12.327308,51.3381941,1765.97,11727.00,6.6405431575848
12.3235753,51.3286982,218.79,1295.00,5.9189176836236
12.3540282,51.3632419,208.64,1292.00,6.1924846625767
12.40818,51.33728,186.00,1107.00,5.9516129032258
12.2682707,51.3249284,190.40,852.00,4.4747899159664
12.3243638,51.3417764,215.75,1076.75,4.9907300115875
12.37648,51.37137,228.46,1226.00,5.3663661034754
12.4087071,51.3518205,487.00,2391.00,4.9096509240246
12.4321403,51.3402231,149.00,669.00,4.489932885906
12.34424,51.33093,291.88,2061.00,7.0611210086337
12.3763,51.36056,277.91,2055.00,7.3944802274118
12.2664971555556,51.3255864777778,200.60,862.00,4.2971086739781
12.4009545,51.3466684,233.00,1154.00,4.9527896995708
12.405404781966,51.33490455,213.23,1195.00,5.6042770717066
12.4300477391149,51.30251885,204.90,1403.00,6.847242557345
12.4027416,51.2849904,295.05,1629.00,5.5210981189629
12.3391702,51.3281834,375.00,2519.00,6.7173333333333
12.2670792,51.3117806,435.61,1822.00,4.1826404352517
12.37396,51.32406,146.00,1244.00,8.5205479452055
12.4120411,51.351952,299.00,1666.00,5.5719063545151
12.3919806,51.3384424,530.00,3132.00,5.9094339622642
12.31173,51.32935,191.00,1390.00,7.2774869109948
12.34226,51.31884,135.00,792.50,5.8703703703704
12.3643647,51.3299791,119.20,572.00,4.7986577181208
12.26732168,51.32534134,158.60,726.00,4.577553593947
12.3409143,51.3366893,331.31,2285.00,6.8968639642631
12.322628,51.3760416,996.33,7353.00,7.3800849116257
12.3733419314509,51.36653035,344.81,2064.00,5.9859052811693
12.3223666,51.3320984,363.04,2320.00,6.3904803878361
12.3781212,51.3243258,262.00,1600.00,6.1068702290076
12.2923508,51.3239674,104.00,532.00,5.1153846153846
12.3860836,51.3335262,1063.49,8867.00,8.337643043188
12.316966478386,51.3466689,184.00,932.00,5.0652173913043
12.37108,51.3304,263.90,2125.00,8.0522925350512
12.4152937,51.318873,422.50,2645.00,6.2603550295858
12.409132327483,51.35758645,270.00,1456.00,5.3925925925926
12.40632638924,51.33401505,605.00,3580.00,5.9173553719008
12.2916351,51.3581948,195.00,943.00,4.8358974358974
12.2892305373449,51.3225047,175.27,768.95,4.3872311291151
12.318506004514,51.33002555,114.40,720.00,6.2937062937063
12.373959256911,51.30567365,185.63,1120.00,6.0335075149491
12.3255421,51.3180894,235.94,1292.00,5.4759684665593
12.404764719137,51.34682945,195.00,860.00,4.4102564102564
12.285738733333,51.324006233333,233.52,1124.20,4.8141486810552
12.3400057,51.3340637,795.10,4502.00,5.6621808577537
12.421821242193,51.31942715,271.42,1237.00,4.557512342495
12.3723099,51.3660111,243.89,1337.86,5.4855057607938
12.4156193,51.3258182,3271.89,18774.60,5.7381513437188
12.4071897,51.3736952,278.74,1380.70,4.9533615555715
12.409941,51.3459767,278.00,1130.00,4.0647482014388
12.4131337,51.3526042,219.00,1258.00,5.7442922374429
12.33713,51.37124,328.00,1677.00,5.1128048780488
12.390579,51.3322096,342.20,2360.00,6.8965517241379
12.328169,51.32118,171.00,865.00,5.0584795321637
12.3279804,51.319239,457.09,2847.00,6.2285326740904
12.36802,51.31579,1064.62,10944.00,10.279724220849
12.375897892132,51.3661916,715.44,3427.00,4.790059264229
12.4066368,51.3413714,220.54,1011.80,4.587829872132
